"ASE Email Id","ASE Name","ASE Employee Code","ASE State","ASE City","AW Name","AW Code","AW State","AW City","AWSM Name","AWSM Code","AWSM State","AWSM City","Region","Status","Reason"
"subramanian.v@iexcel.in","Test","555","karnat","SOUTH 2","Subramanian V","99992","karnat","karnat","SOUTH 2 (1)","9000-185","karnat","SOUTH 2","SOUTH 2","Success","NA"
"mumbaibrit.trainer@iexcel.in","Test","666","longtube","West","Janak Shah","99991","longtube","longtube","West 1","9000-186","longtube","West","West","Success","NA"
"delhibrit.trainer@iexcel.in","Test","333","chandifhr","NORTH","Praveen Sharma","6666","chandifhr","chandifhr","NORTH 1","9000-183","chandifhr","NORTH","NORTH","Success","NA"
"blrbrit.trainer@iexcel.in","Test","444","balngluru","SOUTH 1","Madhu Sudhan","8888","balngluru","balngluru","SOUTH 1 (1)","9000-184","balngluru","SOUTH 1","SOUTH 1","Success","NA"
"delhibrit.trainer@iexcel.in","Test","333","chandifhr","NORTH","Praveen Sharma","6666","chandifhr","chandifhr","NORTH 2","9000-189","chandifhr","NORTH","NORTH","Success","NA"
"blrbrit.trainer@iexcel.in","Test","444","balngluru","SOUTH 1","Madhu Sudhan","8888","balngluru","balngluru","SOUTH 1 (2)","9000-190","balngluru","SOUTH 1","SOUTH 1","Success","NA"
"kolkattabrit.trainer@iexcel.in","Test","222","Kolkata","EAST","Surya","99993","Kolkata","Kolkata","EAST 1","9000-182","Kolkata","EAST","EAST","Success","NA"
"kolkattabrit.trainer@iexcel.in","Test","222","Kolkata","EAST","Surya","99993","Kolkata","Kolkata","EAST 2","9000-188","Kolkata","EAST","EAST","Success","NA"
"subramanian.v@iexcel.in","Test","555","karnat","SOUTH 2","Subramanian V","99992","karnat","karnat","SOUTH 2 (2)","9000-191","karnat","SOUTH 2","SOUTH 2","Success","NA"
"mumbaibrit.trainer@iexcel.in","Test","666","longtube","West","Janak Shah","99991","longtube","longtube","West 2","9000-192","longtube","West","West","Success","NA"
